Part Number ,Description ,Type,Supplier name ,UOM ,,
ING001689,Brownie Chocolate Walnut Eggless 56 ea, DESSERT,ALL ABOUT DESSERTS,Each,,
ING001971,Fig & Almond Tart Wedge 1x40 Ea, DESSERT,ALL ABOUT DESSERTS,Each,,
ING002068,Pudding Sticky Toffe with Toffe Sauce Vegan 50gm x 40 Ea, DESSERT,ALL ABOUT DESSERTS,Each,,
ING002096,Cheesecake Triple Chocolate 100gm 30ea, DESSERT,ALL ABOUT DESSERTS,Each,,
ING002616,Bavarois Mixed Berry 60gm x 40ea, DESSERT,ALL ABOUT DESSERTS,Each,,
ING002617,Cake Mango and Coconut 60gm x 40ea, DESSERT,ALL ABOUT DESSERTS,Each,,
ING002618,Bavarois Rhubarb 60gm x 40ea, DESSERT,ALL ABOUT DESSERTS,Each,,
ING002619,Chocolate Double Pot 60gm x 40ea, DESSERT,ALL ABOUT DESSERTS,Each,,
ING002620,Ganache Chocolate and Orange 60gm x 40ea, DESSERT,ALL ABOUT DESSERTS,Each,,
ING002621,Cake Raspberry 60gm x 40ea, DESSERT,ALL ABOUT DESSERTS,Each,,
ING002681,9C2114 Vegan GF Choc Mousse post x 40,FROZEN,ALL ABOUT DESSERTS,Each,,
ING002682,9C2115 Vegan GF Mango & Coconut bavarois x 40,FROZEN,ALL ABOUT DESSERTS,Each,,
ING002680,9C2113 Vegan & GF Tiramisu x 40,FROZEN,ALL ABOUT DESSERTS,Each,,
ING002683,9C2116 Vegan GF Mango Cheesecake x 40,FROZEN,ALL ABOUT DESSERTS,Each,,
ING002685,9C2117 Vegan & GF Sticky Toffee Caramel pot x 40,FROZEN,ALL ABOUT DESSERTS,Each,,
ING001688,9C2112 Cake Chocolate Gateau 42 Ea, DESSERT,ALL ABOUT DESSERTS,,,
ING002726,Raspberry Bavarois 100g X 40,AMBIENT,ALL ABOUT DESSERTS,,,
ING002727,Mango Cheesecake 100g X 40,AMBIENT,ALL ABOUT DESSERTS,,,
ING002728,Sticky Toffee Caramel Pot 100g X 40,AMBIENT,ALL ABOUT DESSERTS,,,
ING001765,Sausage Pork and Apple 8's 2.54kg,FROZEN,ALTHAMS,Kg,,
ING001101,Muffin Raisin Mini Eggless 50 x 37gm (30 c/s),FRESH,American Muffin Co. Ltd,Each,,
ING002032,Compote Blueberry 1.25kg,FROZEN,BAKER AND DAVIS,Kg,,
ING002520,Bacon Back Dry Cured Unsmoked Becketts UK 48x250g,FROZEN,Becketts Bacon,Kg,,
ING002671,"Dry Cure Bacon British Smoked, Thick Cut  RW 55-60gm",FROZEN,Becketts Bacon,,,
ING001342,Lime Pickle Harrisons 160x12g,AMBIENT,BI EUROPE,Each,,
ING000256,Sauce Chilli Sweet,AMBIENT,Bidvest,Ltr,,
ING000265,Honey Clear Blossom (Tub 1x3.17KG),AMBIENT,Bidvest,Kg,,
ING000275,Nut Pine Kernel,AMBIENT,Bidvest,Kg,,
ING000508,Sauce Teriyaki Stir Fry Blue Dragon 6 x 1ltr,AMBIENT,Bidvest,Ltr,,
ING000730,Pasta Fusilli White 3kg,AMBIENT,Bidvest,Kg,,
ING001336,Mushroom Button Sliced Tinned 6x2.5kg,AMBIENT,Bidvest,Kg,,
ING002401,Paste Chipotle Chilli Santa Maria 750gm,AMBIENT,Bidvest,Kg,,
ING002438,Bouillion Chicken Halal Essential Cuisine 800gm,AMBIENT,Bidvest,Kg,,
ING002465,Wine Red Barolo Torlasco 6 x 750ml,AMBIENT,Bidvest,Ltr,,
ING002470,Bouillion Fish Stock Powder Major kg,AMBIENT,Bidvest,Kg,,
ING002478,Tofu Smoked 1kg x 6ea,FRESH,Bidvest,Kg,,
ING001308,"Tortilla Santa Maria Wrap 10"" x 50 ea",FROZEN,BIdvest,Each,,
ING001657,Mini Potato Rosti (Cs 4x2500GR),FROZEN,Bidvest ,Kg,,
ING002239,Potato Wedge Skin On Everyday Favourites FRZ 6 x 2.5kg,FROZEN,Bidvest ,Kg,,
ING001118,Cracker Cream Eggless (No Lard / Suet) 150 Ea,AMBIENT,Bidvest ,Each,,
ING001206,Yoghurt Natural Yeo Valley Organic Wholemilk 12x80gm,FRESH,Bidvest ,Each,,
ING002537,Mineral Water Still Flatcap Decantae 24ea x 500ml,AMBIENT,Bidvest ,Each,,
ING002539,Cashews Salted Dormens 24x40gm,AMBIENT,Bidvest ,Each,,
ING002540,Pretzel Sour Chive PennState 200x10gm,AMBIENT,Bidvest ,Each,,
ING000059,"Tortilla Wholemeal Wheat Flour Wrap 12"" 72ea",FROZEN,Bidvest ,Each,,
ING000711,Bechamel Sauce (6LT),AMBIENT,Bidvest ,Each,,
ING001508,Burger Chicken 72 x 85gm,FROZEN,Bidvest ,Each,,
ING000719,Pasta Penne 4x3kg,AMBIENT,Bidvest ,Kg,,
ING002330,Tofu Diced Extra Firm 20mm x 30mm Dragonfly,FRESH,Bidvest ,Kg,,
PACK000523,125cc Fresco Salad Container Recyclable 600 c/s,PACK,Catering 24,Each,,
PACK000525,"4x6x14"" Brown Baguette Bag with Window Compostable 1000c/s",PACK,Catering 24,Each,,
PACK000530,Tuck-top wrap pack Recyclable 500 c/s,PACK,Catering 24,Each,,
PACK000531,Hot Deli Deluxe Round PP Lids 464 c/s,PACK,Catering 24,Each,,
PACK000532,Hot Deli Deluxe Round Bowls 464 c/s,PACK,Catering 24,Each,,
PACK000524,750g Medium Kraft Brown salad Box 180 c/s,PACK,Catering 24,Each,,
PACK000499,Clear Medium Plastic Microwave Container & Lids 650ml x 250e,PACK,Catering24,Each,,
PACK000242,1004219 Square Tin Foil Container,PACK,CUSTOMER,Each,,
PACK000243,1004372 Square Tin Foil Cover,PACK,CUSTOMER,Each,,
PACK000246,1034567 Lid for Salad Bowl,PACK,CUSTOMER,Each,,
PACK000248,1027448 Bowl Salad China,PACK,CUSTOMER,Each,,
ING002415,Lamb Mince 95% V/L Pasture Grazed kg,MEAT,Farmison & Co,Kg,,
ING002416,Beef Mince 95% V/L Pasture Grazed kg,MEAT,Farmison & Co,Kg,,
ING002532,Beef Diced 25-30mm Braising Cut Grass Fed,MEAT,Farmison & Co,Kg,,
ING001758,Onion Diced 6mm IQF 1kg,FROZEN,Foodnet,Kg,,
ING002374,Peas Garden (Ardo) FRZ,FROZEN,Foodnet,Kg,,
ING000948,Butternut Squash Diced 20mm IQF,Frozen,foodnet,,,
ING002731,Courgette Green Diced 20mm FRZ c/s 10 kg,Frozen,foodnet,,,
ING002739,Aubergine Diced 20mm FRZ,Frozen,foodnet,,,
ING000124,Cream Double 2.27ltr,FRESH,Foodspeed Ltd,Kg,,
